SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100120418,10006395,10012990,44,44
100120419,10006396,10006398,54,54
100120422,10006396,10009828,66,66
100120424,10006397,10006459,56,56
100120425,10006397,10006566,27,27
100120427,10006397,10007882,42,42
100120428,10006397,10008534,69,69
100120430,10006397,10009414,40,40
100120431,10006397,10011230,11,11
100120433,10006397,10011666,76,76
100120435,10006397,10011735,48,48
100120436,10006397,10013308,46,46
100120438,10006399,10010552,55,55
100120441,10006399,10012122,55,55
100120442,10006400,10006452,13,13
100120444,10006400,10007175,13,13
100120446,10006400,10009549,11,11
100120447,10006400,10009786,33,33
100120449,10006400,10011670,46,46
100120450,10006400,10011671,42,42
100120452,10006400,10012170,15,15
100120453,10006400,10012317,47,47
100120455,10006400,10013186,11,11
100120457,10006401,10006471,33,33
100120458,10006401,10006484,13,13
100120461,10006401,10007175,25,25
100120463,10006401,10007990,83,83
100120467,10006401,10009787,18,18
100120468,10006401,10009879,15,15
100120470,10006401,10010846,57,57
100120471,10006401,10010872,12,12
100120473,10006401,10011246,25,25
100120475,10006401,10011850,55,55
100120476,10006401,10012165,35,35
100120478,10006401,10012499,15,15
100120479,10006401,10013184,12,12
100120481,10006401,10013257,35,35
100120482,10006402,10007416,40,40
100120484,10006402,10009981,24,24
100120487,10006402,10013084,12,12
100120490,10006403,10010297,39,39
100120491,10006403,10010650,35,35
100120493,10006403,10012175,42,42
100120494,10006403,10012780,27,27
100120495,10006404,10008080,14,14
100120496,10006404,10008738,64,64
100120498,10006404,10012607,11,11
100120500,10006405,10008138,46,46
100120501,10006405,10009549,47,47
100120503,10006405,10010692,50,50
100120506,10006405,10012366,19,19
100120507,10006405,10012889,22,22
100120510,10006406,10009418,30,30
100120511,10006406,10009752,38,38
100120516,10006406,10011167,22,22
100120517,10006406,10011597,24,24
100120518,10006406,10012119,62,62
100120519,10006406,10012999,20,20
100120520,10006406,10013162,12,12
100120521,10006407,10006408,52,52
100120522,10006408,10012393,45,45
100120523,10006408,10012844,46,46
100120526,10006409,10007619,23,23
100120528,10006409,10007934,24,24
100120532,10006409,10011780,15,15
100120533,10006409,10012116,11,11
100120535,10006409,10012119,65,65
100120536,10006409,10012121,11,11
100120538,10006409,10012206,44,44
100120540,10006409,10012539,39,39
100120541,10006410,10009249,52,52
100120543,10006410,10011522,35,35
100120544,10006410,10013308,35,35
100120546,10006411,10006801,33,33
100120547,10006411,10006914,39,39
100120549,10006411,10009348,28,28
100120552,10006411,10011505,14,14
100120554,10006411,10011951,47,47
100120555,10006411,10012482,30,30
100120558,10006412,10006656,14,14
100120560,10006412,10006861,17,17
100120562,10006412,10006942,54,54
100120563,10006412,10007251,47,47
100120566,10006412,10007830,66,66
100120567,10006412,10007918,66,66
100120568,10006412,10008263,36,36
100120571,10006412,10008702,23,23
100120572,10006412,10008812,15,15
100120574,10006412,10009192,51,51
100120576,10006412,10010474,18,18
100120577,10006412,10010851,48,48
100120579,10006412,10011121,35,35
100120580,10006412,10011185,13,13
100120583,10006412,10011219,15,15
100120584,10006412,10011221,11,11
100120585,10006412,10011253,12,12
100120587,10006412,10011255,38,38
100120588,10006412,10011256,32,32
100120591,10006412,10011535,47,47
100120593,10006412,10011586,35,35
100120557,10006412,10006420,11,100
100120597,10006412,10011818,50,50
100120598,10006412,10011919,49,49
100120600,10006412,10012059,13,13
100120601,10006412,10012413,24,24
100120603,10006412,10012707,13,13
100120605,10006412,10012922,12,12
100120606,10006412,10013039,27,27
100120608,10006412,10013059,60,60
100120609,10006412,10013071,55,55
100120611,10006413,10011557,24,24
100120612,10006413,10013085,20,20
100120614,10006414,10010942,20,20
100120617,10006414,10011671,57,57
100120619,10006416,10006449,24,24
100120620,10006416,10006768,23,23
100120623,10006416,10010146,39,39
100120624,10006416,10011294,71,71
100120625,10006416,10012086,15,15
100120626,10006417,10006657,16,16
100120628,10006417,10009472,34,34
100120630,10006417,10011889,60,60
100120631,10006417,10012934,47,47
100120633,10006418,10006419,40,40
100120636,10006418,10007175,18,18
100120640,10006418,10008966,54,54
100120641,10006418,10009597,54,54
100120642,10006418,10009920,13,13
